기준연도,시도코드,시도명,대학구분명,대학교명,본분교구분명,설립형태구분명,평균입학금액,평균등록금액,데이터기준일자,제공기관코드,제공기관명
2025,50,제주특별자치도,대학,제주대학교,본교,국립,0,4028696.6,2025-05-19,B552529,한국장학재단
2025,48,경상남도,대학,창원대학교,본교,국립,0,3906262.5,2025-05-19,B552529,한국장학재단
2025,30,대전광역시,대학,충남대학교,본교,국립,0,4386642,2025-05-19,B552529,한국장학재단
2025,43,충청북도,대학,충북대학교,본교,국립,0,4286467,2025-05-19,B552529,한국장학재단
2025,43,충청북도,대학,한국교원대학교,본교,국립,0,3350393.8,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,한국체육대학교,본교,국립,0,3860074.8,2025-05-19,B552529,한국장학재단
2025,26,부산광역시,대학,한국해양대학교,본교,국립,0,3721746.4,2025-05-19,B552529,한국장학재단
2025,43,충청북도,대학,한국교통대학교,본교,국립,0,4111989.3,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,서울시립대학교,본교,공립,0,2532527.2,2025-05-19,B552529,한국장학재단
2025,28,인천광역시,대학,인천대학교,본교,국립,0,4651527.2,2025-05-19,B552529,한국장학재단
2025,44,충청남도,대학,공주교육대학교,본교,국립,0,3600000,2025-05-19,B552529,한국장학재단
2025,29,광주광역시,대학,광주교육대학교,본교,국립,0,3792359.7,2025-05-19,B552529,한국장학재단
2025,27,대구광역시,대학,대구교육대학교,본교,국립,0,3896000,2025-05-19,B552529,한국장학재단
2025,26,부산광역시,대학,부산교육대학교,본교,국립,0,3316000,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,서울교육대학교,본교,국립,0,3256000,2025-05-19,B552529,한국장학재단
2025,28,인천광역시,대학,경인교육대학교,본교,국립,0,3492872.4,2025-05-19,B552529,한국장학재단
2025,52,전북특별자치도,대학,전주교육대학교,본교,국립,0,3646000,2025-05-19,B552529,한국장학재단
2025,48,경상남도,대학,진주교육대학교,본교,국립,0,3778500,2025-05-19,B552529,한국장학재단
2025,43,충청북도,대학,청주교육대학교,본교,국립,0,3600000,2025-05-19,B552529,한국장학재단
2025,51,강원특별자치도,대학,춘천교육대학교,본교,국립,0,3494000,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,원격대학,한양사이버대학교,본교,사립,0,2939051.5,2025-05-19,B552529,한국장학재단
2025,31,울산광역시,대학,울산과학기술원,본교,국립,0,6548625.4,2025-05-19,B552529,한국장학재단
2025,51,강원특별자치도,대학,강릉원주대학교,제2캠퍼,국립,0,4273990.8,2025-05-19,B552529,한국장학재단
2025,51,강원특별자치도,대학,강원대학교,제2캠퍼,국립,0,4242824.4,2025-05-19,B552529,한국장학재단
2025,46,전라남도,대학,전남대학교,제2캠퍼,국립,0,4097403,2025-05-19,B552529,한국장학재단
2025,44,충청남도,전문대학,충남도립대학교,본교,공립,0,2461746.1,2025-05-19,B552529,한국장학재단
2025,51,강원특별자치도,전문대학,강원도립대학교,본교,공립,0,2348711.2,2025-05-19,B552529,한국장학재단
2025,47,경상북도,전문대학,경북도립대학교,본교,공립,0,2456725.1,2025-05-19,B552529,한국장학재단
2025,41,경기도,전문대학,한국복지대학교,본교,국립,0,2714000,2025-05-19,B552529,한국장학재단
2025,48,경상남도,전문대학,경남도립거창대학,본교,공립,0,2852695.7,2025-05-19,B552529,한국장학재단
2025,46,전라남도,전문대학,전남도립대학교,본교,공립,0,1960965.5,2025-05-19,B552529,한국장학재단
2025,48,경상남도,전문대학,경남도립남해대학,본교,공립,0,2759139.1,2025-05-19,B552529,한국장학재단
2025,43,충청북도,전문대학,충북도립대학교,본교,공립,0,1880604.7,2025-05-19,B552529,한국장학재단
2025,52,전북특별자치도,전문대학,한국농수산대학교,본교,국립,0,0,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,한국예술종합학교,본교,국립,0,4806454.7,2025-05-19,B552529,한국장학재단
2025,29,광주광역시,대학,광주과학기술원,본교,국립,0,2060000,2025-05-19,B552529,한국장학재단
2025,30,대전광역시,대학,한국과학기술원,본교,국립,0,6866000,2025-05-19,B552529,한국장학재단
2025,27,대구광역시,대학,대구경북과학기술원,본교,국립,0,7690000,2025-05-19,B552529,한국장학재단
2025,29,광주광역시,대학,송원대학교,본교,사립,0,6895898.1,2025-05-19,B552529,한국장학재단
2025,28,인천광역시,대학,인천가톨릭대학교,제2캠퍼,사립,0,8842141.8,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,전문대학,한국폴리텍 I 대학 서울강서캠퍼스,본교,사립,0,2494000,2025-05-19,B552529,한국장학재단
2025,41,경기도,전문대학,한국폴리텍 I 대학 성남캠퍼스,본교,사립,0,2432000,2025-05-19,B552529,한국장학재단
2025,28,인천광역시,전문대학,한국폴리텍 II 대학 남인천캠퍼스,본교,사립,0,2494000,2025-05-19,B552529,한국장학재단
2025,51,강원특별자치도,전문대학,한국폴리텍 III 대학 강릉캠퍼스,본교,사립,0,2527173.9,2025-05-19,B552529,한국장학재단
2025,43,충청북도,전문대학,한국폴리텍 IV 대학 청주캠퍼스,본교,사립,0,2432000,2025-05-19,B552529,한국장학재단
2025,44,충청남도,전문대학,한국폴리텍 IV 대학 아산캠퍼스,본교,사립,0,2432000,2025-05-19,B552529,한국장학재단
2025,44,충청남도,전문대학,한국폴리텍 IV 대학 충남캠퍼스,본교,사립,0,2164000,2025-05-19,B552529,한국장학재단
2025,52,전북특별자치도,전문대학,한국폴리텍 V 대학 전북캠퍼스,본교,사립,0,2321000,2025-05-19,B552529,한국장학재단
2025,46,전라남도,전문대학,한국폴리텍 V 대학 전남캠퍼스,본교,사립,0,2164000,2025-05-19,B552529,한국장학재단
2025,52,전북특별자치도,전문대학,한국폴리텍 V 대학 익산캠퍼스,본교,사립,0,2432000,2025-05-19,B552529,한국장학재단
2025,47,경상북도,전문대학,한국폴리텍 VI 대학 구미캠퍼스,본교,사립,0,2432000,2025-05-19,B552529,한국장학재단
2025,26,부산광역시,전문대학,한국폴리텍 VII 대학 부산캠퍼스,본교,사립,0,2432000,2025-05-19,B552529,한국장학재단
2025,31,울산광역시,전문대학,한국폴리텍 VII 대학 울산캠퍼스,본교,사립,0,2432000,2025-05-19,B552529,한국장학재단
2025,44,충청남도,대학,남서울대학교,본교,사립,0,8356230.6,2025-05-19,B552529,한국장학재단
2025,30,대전광역시,대학,한밭대학교,본교,국립,0,4479446.5,2025-05-19,B552529,한국장학재단
2025,47,경상북도,대학,경운대학교,본교,사립,0,8093237.8,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,한국공학대학교,본교,사립,0,9450433.9,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,서울과학기술대학교,본교,국립,0,5494399.4,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,한경대학교,본교,국립,0,4020513.3,2025-05-19,B552529,한국장학재단
2025,46,전라남도,대학,초당대학교,본교,사립,0,7018931.6,2025-05-19,B552529,한국장학재단
2025,26,부산광역시,원격대학,화신사이버대학교,본교,사립,0,2527107.2,2025-05-19,B552529,한국장학재단
2025,50,제주특별자치도,대학,제주국제대학교,본교,사립,0,5824216.2,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,전문대학,정화예술대학교,제2캠퍼,사립,0,9300000,2025-05-19,B552529,한국장학재단
2025,51,강원특별자치도,대학,경동대학교,제3캠퍼,사립,0,8954410.8,2025-05-19,B552529,한국장학재단
2025,48,경상남도,대학,창신대학교,본교,사립,0,6752313.4,2025-05-19,B552529,한국장학재단
2025,47,경상북도,전문대학,한국폴리텍 VI 대학 영주캠퍼스,본교,사립,0,2164000,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,신한대학교,본교,사립,0,9525092.6,2025-05-19,B552529,한국장학재단
2025,44,충청남도,대학,단국대학교,제2캠퍼,사립,0,8658564.6,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,경동대학교,제4캠퍼,사립,0,8137293.6,2025-05-19,B552529,한국장학재단
2025,44,충청남도,대학,한국전통문화대학교(일반),본교,국립,0,3382410.7,2025-05-19,B552529,한국장학재단
2025,48,경상남도,대학,가야대학교(김해),본교,사립,0,7239309.3,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,신한대학교,제2캠퍼,사립,0,9103881.7,2025-05-19,B552529,한국장학재단
2025,51,강원특별자치도,전문대학,한국폴리텍 III 대학 원주캠퍼스,본교,사립,0,2174000,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,가톨릭대학교,본교,사립,0,7493634.7,2025-05-19,B552529,한국장학재단
2025,30,대전광역시,대학,목원대학교,본교,사립,0,7722257.3,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,감리교신학대학교,본교,사립,0,6820923.7,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,강남대학교,본교,사립,0,7968388.7,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,건국대학교,본교,사립,0,8748292.8,2025-05-19,B552529,한국장학재단
2025,44,충청남도,대학,건양대학교,본교,사립,0,6625935.9,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,경기대학교,본교,사립,0,7796243.6,2025-05-19,B552529,한국장학재단
2025,51,강원특별자치도,대학,경동대학교,본교,사립,0,6728666.7,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,가천대학교,본교,사립,0,8812617.8,2025-05-19,B552529,한국장학재단
2025,27,대구광역시,대학,계명대학교,본교,사립,0,8079008.3,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,고려대학교,본교,사립,0,8814464.2,2025-05-19,B552529,한국장학재단
2025,26,부산광역시,대학,고신대학교,본교,사립,0,7057229.3,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,수원대학교,본교,사립,0,7663984,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,경희대학교,본교,사립,0,8441574.6,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,서울장신대학교,본교,사립,0,7728884.6,2025-05-19,B552529,한국장학재단
2025,29,광주광역시,대학,광신대학교,본교,사립,0,6176458.1,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,수원가톨릭대학교,본교,사립,0,5097000,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,광운대학교,본교,사립,0,8330757.9,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,국민대학교,본교,사립,0,8376923.6,2025-05-19,B552529,한국장학재단
2025,43,충청북도,대학,유원대학교,본교,사립,0,7202405.7,2025-05-19,B552529,한국장학재단
2025,44,충청남도,대학,나사렛대학교,본교,사립,0,7924397.6,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,단국대학교,본교,사립,0,8511519.8,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,용인대학교,본교,사립,0,8160711.2,2025-05-19,B552529,한국장학재단
2025,46,전라남도,대학,광주가톨릭대학교,본교,사립,0,0,2025-05-19,B552529,한국장학재단
2025,47,경상북도,대학,영남신학대학교,본교,사립,0,6614000,2025-05-19,B552529,한국장학재단
2025,47,경상북도,대학,대신대학교,본교,사립,0,6588923.7,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,세종대학교,본교,사립,0,8392237.8,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,아주대학교,본교,사립,0,8794887.9,2025-05-19,B552529,한국장학재단
2025,43,충청북도,대학,세명대학교,본교,사립,0,7280563.3,2025-05-19,B552529,한국장학재단
2025,30,대전광역시,대학,한남대학교,본교,사립,0,7657067.8,2025-05-19,B552529,한국장학재단
2025,30,대전광역시,대학,대전신학대학교,본교,사립,0,5956000,2025-05-19,B552529,한국장학재단
2025,36,세종특별자치시,대학,대전가톨릭대학교,본교,사립,0,5760000,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,대진대학교,본교,사립,0,8009719.7,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,총신대학교,본교,사립,0,7336119.7,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,덕성여자대학교,본교,사립,0,7593288.1,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,동국대학교,본교,사립,0,8458007.5,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,동덕여자대학교,본교,사립,0,7882190.2,2025-05-19,B552529,한국장학재단
2025,26,부산광역시,대학,동명대학교,본교,사립,0,7431063.8,2025-05-19,B552529,한국장학재단
2025,26,부산광역시,대학,동서대학교,본교,사립,0,7311715.9,2025-05-19,B552529,한국장학재단
2025,26,부산광역시,대학,동아대학교,본교,사립,0,7655191.2,2025-05-19,B552529,한국장학재단
2025,30,대전광역시,대학,우송대학교,본교,사립,0,7593389.1,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,한국외국어대학교,본교,사립,0,7594228.1,2025-05-19,B552529,한국장학재단
2025,44,충청남도,대학,순천향대학교,본교,사립,0,8284598.3,2025-05-19,B552529,한국장학재단
2025,26,부산광역시,대학,동의대학교,본교,사립,0,7346090.8,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,루터대학교,본교,사립,0,6334500,2025-05-19,B552529,한국장학재단
2025,51,강원특별자치도,대학,가톨릭관동대학교,본교,사립,0,7505368.9,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,명지대학교,본교,사립,0,9592689.4,2025-05-19,B552529,한국장학재단
